category,logo,color_svg,color_png,black_svg,black_png,white_svg,white_png,origin,source_raster,note,source_url
_not-logos,toro-myturf,toro-myturf.svg,,,,,,native,,harvested but not a logo mark,https://www.rbaconsulting.com/wp-content/uploads/2024/09/Toro-MyTurf.svg
_rba-brand,,,,,,,,not vectorised,_raster-originals/rba-brand/rba-cares.png,duotone photograph with a lockup burned in; not shown on the site: RBA marks belong under Logos,https://www.rbaconsulting.com/wp-content/uploads/2025/05/RBACares.png
_rba-brand,,,,,,,,not vectorised,_raster-originals/rba-brand/rba-flag.png,photograph of a physical flag; not shown on the site: RBA marks belong under Logos,https://www.rbaconsulting.com/wp-content/uploads/2025/04/RBA-Flag-Menu.png
_rba-brand,,,,,,,,not vectorised,_raster-originals/rba-brand/rba-logo-header.png,"decorative page-header background, not a mark; not shown on the site: RBA marks belong under Logos",https://www.rbaconsulting.com/wp-content/uploads/2025/05/RBA-Logo-Header-image.png
_rba-brand,icon-ai,icon-ai.svg,,,,,,native,,not shown on the site: RBA marks belong under Logos,https://www.rbaconsulting.com/wp-content/uploads/2024/04/RBA-AI-Icon.svg
_rba-brand,icon-cloud,icon-cloud.svg,,,,,,native,,not shown on the site: RBA marks belong under Logos,https://www.rbaconsulting.com/wp-content/uploads/2024/04/RBA-Cloud-Icon.svg
_rba-brand,icon-collaborative-delivery,icon-collaborative-delivery.svg,,,,,,native,,not shown on the site: RBA marks belong under Logos,https://www.rbaconsulting.com/wp-content/uploads/2024/04/RBA-Codelivery-Icon.svg
_rba-brand,icon-data,icon-data.svg,,,,,,native,,not shown on the site: RBA marks belong under Logos,https://www.rbaconsulting.com/wp-content/uploads/2024/04/RBA-Data-Icon.svg
_rba-brand,icon-digital-experience,icon-digital-experience.svg,,,,,,native,,not shown on the site: RBA marks belong under Logos,https://www.rbaconsulting.com/wp-content/uploads/2024/04/RBA-Digital-Experience-Icon.svg
_rba-brand,icon-expert-staffing,icon-expert-staffing.svg,,,,,,native,,not shown on the site: RBA marks belong under Logos,https://www.rbaconsulting.com/wp-content/uploads/2025/03/Expert-Staffing.svg
_rba-brand,icon-modern-operations,icon-modern-operations.svg,,,,,,native,,not shown on the site: RBA marks belong under Logos,https://www.rbaconsulting.com/wp-content/uploads/2024/04/RBA-Modern-Operations-Icon.svg
_rba-brand,icon-modern-workplace,icon-modern-workplace.svg,,,,,,native,,not shown on the site: RBA marks belong under Logos,https://www.rbaconsulting.com/wp-content/uploads/2024/04/RBA-Modern-Workplace-Icon.svg
_rba-brand,icon-project-team,icon-project-team.svg,,,,,,native,,not shown on the site: RBA marks belong under Logos,https://www.rbaconsulting.com/wp-content/uploads/2024/04/RBA-Project-Team-Icon.svg
_rba-brand,icon-software-engineering,icon-software-engineering.svg,,,,,,native,,not shown on the site: RBA marks belong under Logos,https://www.rbaconsulting.com/wp-content/uploads/2024/04/RBA-Software-Engineering-Icon_1.svg
_rba-brand,icon-strategy,icon-strategy.svg,,,,,,native,,not shown on the site: RBA marks belong under Logos,https://www.rbaconsulting.com/wp-content/uploads/2024/04/RBA-Strategy-Icon.svg
_rba-brand,icon-support,icon-support.svg,,,,,,native,,not shown on the site: RBA marks belong under Logos,https://www.rbaconsulting.com/wp-content/uploads/2024/04/RBA-Support-Icon.svg
